airport_id,name,city,country,iata_faa,iaco,latitude,longitude,altitude,zone,dst,city_state,avg_able_landings,avg_able_takeoffs,total_landings,total_takeoffs,avg_taxi_in,avg_taxi_out,longest_taxi_in,longest_taxi_out,lng_tx_in_date,lng_tx_out_date
4355,Lehigh Valley International,Allentown,United States,ABE,KABE,40.652083,-75.440806,393,-5,A,"Allentown/Bethlehem/Easton, PA",338,337,339,338,5.0414201183431935,14.718100890207715,58.0,83.0,"Tue, Oct  2, 2018","Mon, Oct  8, 2018"
3718,Abilene Regional,Abilene,United States,ABI,KABI,32.411319,-99.681897,1791,-6,A,"Abilene, TX",175,175,177,177,3.7314285714285713,16.62857142857142,29.0,89.0,"Mon, Oct  8, 2018","Mon, Oct 15, 2018"
4019,Albuquerque International Sunport,Albuquerque,United States,ABQ,KABQ,35.0402222,-106.6091944,5355,-7,A,"Albuquerque, NM",2124,2122,2137,2138,5.330508474576272,12.23515551366636,50.0,106.0,"Wed, Oct 24, 2018","Fri, Oct 26, 2018"
5714,Aberdeen Regional Airport,Aberdeen,United States,ABR,KABR,45.4491,-98.4218,1302,-6,A,"Aberdeen, SD",70,70,70,70,4.885714285714286,18.071428571428573,19.0,54.0,"Thu, Oct  4, 2018","Wed, Oct 10, 2018"
5715,Southwest Georgia Regional Airport,Albany,United States,ABY,KABY,31.5355,-84.1945,197,-5,A,"Albany, GA",86,86,88,88,3.7209302325581395,14.383720930232556,11.0,45.0,"Sun, Oct 14, 2018","Fri, Oct 26, 2018"
3517,Nantucket Memorial,Nantucket,United States,ACK,KACK,41.253053,-70.060181,48,-5,A,"Nantucket, MA",33,33,34,34,4.757575757575758,18.151515151515152,9.0,115.0,"Mon, Oct  1, 2018","Thu, Oct 11, 2018"
3700,Waco Regional,Waco,United States,ACT,KACT,31.611289,-97.230519,516,-6,A,"Waco, TX",139,139,142,142,3.8489208633093526,16.381294964028772,12.0,59.0,"Mon, Oct 15, 2018","Sun, Oct  7, 2018"
4384,Arcata,Arcata CA,United States,ACV,KACV,40.978111,-124.108611,221,-8,A,"Arcata/Eureka, CA",141,140,149,148,6.333333333333332,12.178571428571425,28.0,47.0,"Thu, Oct 18, 2018","Sun, Oct 28, 2018"
3524,Atlantic City International,Atlantic City,United States,ACY,KACY,39.457583,-74.577167,75,-5,A,"Atlantic City, NJ",240,240,241,241,5.299999999999998,10.841666666666674,38.0,37.0,"Mon, Oct 15, 2018","Sat, Oct 27, 2018"
5959,Adak Airport,Adak Island,United States,ADK,PADK,51.878,-176.646,18,-10,A,"Adak Island, AK",8,8,9,9,5.375,7.375,6.0,10.0,"Wed, Oct 17, 2018","Sat, Oct 20, 2018"
