airport_id,name,city,country,iata_faa,iaco,latitude,longitude,altitude,zone,dst,city_state,avg_able_landings,avg_able_takeoffs,total_landings,total_takeoffs,avg_taxi_in,avg_taxi_out,longest_taxi_in,longest_taxi_out,lng_tx_in_date,lng_tx_out_date
4355,Lehigh Valley International,Allentown,United States,ABE,KABE,40.652083,-75.440806,393,-5,A,"Allentown/Bethlehem/Easton, PA",227,225,228,226,4.132158590308371,12.85777777777778,11.0,46.0,"Thu, May 12, 2016","Sun, May  1, 2016"
4019,Albuquerque International Sunport,Albuquerque,United States,ABQ,KABQ,35.0402222,-106.6091944,5355,-7,A,"Albuquerque, NM",1685,1684,1690,1692,5.509792284866471,11.522565320665091,31.0,67.0,"Sat, May 14, 2016","Tue, May 31, 2016"
5714,Aberdeen Regional Airport,Aberdeen,United States,ABR,KABR,45.4491,-98.4218,1302,-6,A,"Aberdeen, SD",62,62,62,62,4.677419354838711,13.53225806451613,10.0,36.0,"Sun, May  8, 2016","Fri, May 27, 2016"
5715,Southwest Georgia Regional Airport,Albany,United States,ABY,KABY,31.5355,-84.1945,197,-5,A,"Albany, GA",86,86,86,86,3.4186046511627906,12.709302325581396,6.0,36.0,"Mon, May 30, 2016","Sun, May  1, 2016"
3517,Nantucket Memorial,Nantucket,United States,ACK,KACK,41.253053,-70.060181,48,-5,A,"Nantucket, MA",67,66,67,67,4.805970149253731,12.909090909090908,17.0,47.0,"Fri, May 20, 2016","Mon, May 30, 2016"
3700,Waco Regional,Waco,United States,ACT,KACT,31.611289,-97.230519,516,-6,A,"Waco, TX",118,117,121,121,5.372881355932203,11.282051282051283,31.0,70.0,"Mon, May 30, 2016","Sat, May 14, 2016"
4384,Arcata,Arcata CA,United States,ACV,KACV,40.978111,-124.108611,221,-8,A,"Arcata/Eureka, CA",122,121,124,124,5.549180327868853,11.834710743801653,9.0,46.0,"Fri, May 13, 2016","Fri, May 13, 2016"
3524,Atlantic City International,Atlantic City,United States,ACY,KACY,39.457583,-74.577167,75,-5,A,"Atlantic City, NJ",339,336,341,341,4.663716814159295,10.95238095238095,13.0,37.0,"Sun, May  1, 2016","Thu, May  5, 2016"
5959,Adak Airport,Adak Island,United States,ADK,PADK,51.878,-176.646,18,-10,A,"Adak Island, AK",9,9,9,9,4.777777777777778,8.555555555555555,6.0,18.0,"Sun, May  8, 2016","Sun, May 22, 2016"
3531,Kodiak,Kodiak,United States,ADQ,PADQ,57.749967,-152.493856,78,-9,A,"Kodiak, AK",50,50,51,51,3.1799999999999993,7.3,6.0,20.0,"Mon, May 30, 2016","Fri, May 20, 2016"
3852,Alexandria International,Alexandria,United States,AEX,KAEX,31.3274,-92.549833,89,-6,A,"Alexandria, LA",233,233,235,236,3.227467811158798,12.746781115879829,8.0,43.0,"Tue, May  3, 2016","Mon, May  2, 2016"
3658,Augusta Regional At Bush Field,Bush Field,United States,AGS,KAGS,33.369944,-81.9645,144,-5,A,"Augusta, GA",233,233,233,233,3.699570815450644,16.53648068669528,24.0,62.0,"Wed, May 18, 2016","Fri, May 20, 2016"
3864,Albany International,Albany,United States,ALB,KALB,42.748267,-73.801692,285,-5,A,"Albany, NY",887,886,888,888,4.405862457722657,11.95598194130926,39.0,76.0,"Mon, May 23, 2016","Wed, May  4, 2016"
3840,Rick Husband Amarillo International,Amarillo,United States,AMA,KAMA,35.219369,-101.705931,3607,-6,A,"Amarillo, TX",258,256,261,259,4.682170542635659,11.121093749999998,25.0,37.0,"Sat, May 28, 2016","Thu, May 26, 2016"
3774,Ted Stevens Anchorage International,Anchorage,United States,ANC,PANC,61.174361,-149.996361,152,-9,A,"Anchorage, AK",1464,1464,1470,1466,4.188524590163928,11.702185792349724,25.0,42.0,"Fri, May 20, 2016","Tue, May  3, 2016"
5720,Alpena County Regional Airport,Alpena,United States,APN,KAPN,45.0781,-83.5603,689,-5,A,"Alpena, MI",54,53,54,53,4.425925925925927,12.622641509433961,11.0,37.0,"Fri, May 27, 2016","Fri, May 27, 2016"
7001,Aspen/Pitkin County-Sardy Field,Aspen,United States,ASE,KASE,39.2232,-106.869,7820,-7,A,"Aspen, CO",119,119,119,119,3.176470588235294,13.352941176470587,16.0,117.0,"Fri, May  6, 2016","Fri, May  6, 2016"
3682,Hartsfield Jackson Atlanta International,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,"Atlanta, GA",33351,33369,33381,33387,7.98287907409072,17.18169558572335,95.0,150.0,"Tue, May 31, 2016","Tue, May 31, 2016"
4047,Appleton,Appleton,United States,ATW,KATW,44.257526,-88.507576,680,-6,A,"Appleton, WI",268,267,271,271,4.962686567164178,14.651685393258427,39.0,63.0,"Sun, May  8, 2016","Wed, May 11, 2016"
3673,Austin Bergstrom International,Austin,United States,AUS,KAUS,30.194528,-97.669889,542,-6,A,"Austin, TX",3841,3846,3883,3882,5.900546732621706,12.732189287571494,78.0,125.0,"Fri, May 27, 2016","Fri, May 27, 2016"
4007,Asheville Regional Airport,Asheville,United States,AVL,KAVL,35.436194,-82.541806,2165,-5,A,"Asheville, NC",265,265,265,265,4.143396226415092,15.788679245283022,25.0,72.0,"Fri, May 27, 2016","Wed, May 25, 2016"
4286,Wilkes Barre Scranton International,Scranton,United States,AVP,KAVP,41.338478,-75.723403,962,-5,A,"Scranton/Wilkes-Barre, PA",166,167,168,167,3.5301204819277108,13.37125748502994,6.0,42.0,"Sun, May 15, 2016","Sun, May  1, 2016"
4039,Kalamazoo,Kalamazoo,United States,AZO,KAZO,42.234875,-85.552058,874,-5,A,"Kalamazoo, MI",139,139,142,143,4.1294964028777,14.323741007194245,16.0,32.0,"Tue, May 10, 2016","Mon, May 30, 2016"
3825,Bradley International,Windsor Locks,United States,BDL,KBDL,41.938889,-72.683222,173,-5,A,"Hartford, CT",1794,1791,1800,1800,5.437569676700116,12.640424343941936,51.0,91.0,"Wed, May  4, 2016","Mon, May  2, 2016"
3599,Bethel,Bethel,United States,BET,PABE,60.779778,-161.838,121,-9,A,"Bethel, AK",80,80,82,82,3.8375,6.9875,6.0,29.0,"Mon, May 23, 2016","Tue, May 31, 2016"
3558,Meadows Field,Bakersfield,United States,BFL,KBFL,35.433598,-119.05677,507,-8,A,"Bakersfield, CA",233,233,235,234,4.832618025751075,17.171673819742498,23.0,63.0,"Wed, May 25, 2016","Wed, May 11, 2016"
4129,Greater Binghamton-Edwin A. Link Field,Binghamton,United States,BGM,KBGM,42.208689,-75.979839,1636,-5,A,"Binghamton, NY",85,85,85,85,4.423529411764704,16.788235294117644,6.0,58.0,"Mon, May  9, 2016","Sat, May 14, 2016"
3463,Bangor International,Bangor,United States,BGR,KBGR,44.807444,-68.828139,192,-5,A,"Bangor, ME",36,36,36,36,3.9444444444444446,11.805555555555555,6.0,19.0,"Sat, May 28, 2016","Fri, May 13, 2016"
3811,Birmingham International,Birmingham,United States,BHM,KBHM,33.562942,-86.75355,644,-6,A,"Birmingham, AL",1077,1078,1086,1086,3.896007428040855,13.800556586270861,22.0,72.0,"Mon, May  9, 2016","Sun, May  1, 2016"
4021,Billings Logan International Airport,Billings,United States,BIL,KBIL,45.80921,-108.537654,3652,-7,A,"Billings, MT",245,246,246,247,3.76734693877551,11.61788617886179,7.0,68.0,"Sun, May 29, 2016","Thu, May 26, 2016"
