airport_id,name,city,country,iata_faa,iaco,latitude,longitude,altitude,zone,dst,city_state,avg_able_landings,avg_able_takeoffs,total_landings,total_takeoffs,avg_taxi_in,avg_taxi_out,longest_taxi_in,longest_taxi_out,lng_tx_in_date,lng_tx_out_date
4355,Lehigh Valley International,Allentown,United States,ABE,KABE,40.652083,-75.440806,393,-5,A,"Allentown/Bethlehem/Easton, PA",472,470,480,480,4.2478813559322,11.906382978723409,13.0,123.0,"Sun, Jul  1, 2001","Tue, Jul 10, 2001"
3718,Abilene Regional,Abilene,United States,ABI,KABI,32.411319,-99.681897,1791,-6,A,"Abilene, TX",201,200,207,207,4.059701492537311,8.789999999999997,14.0,40.0,"Sat, Jul 28, 2001","Tue, Jul  3, 2001"
4019,Albuquerque International Sunport,Albuquerque,United States,ABQ,KABQ,35.0402222,-106.6091944,5355,-7,A,"Albuquerque, NM",3192,3182,3202,3199,4.548558897243107,10.32903834066625,50.0,93.0,"Tue, Jul 17, 2001","Sun, Jul  1, 2001"
3700,Waco Regional,Waco,United States,ACT,KACT,31.611289,-97.230519,516,-6,A,"Waco, TX",231,230,238,237,4.05627705627706,9.413043478260862,13.0,25.0,"Thu, Jul 12, 2001","Sun, Jul  8, 2001"
3531,Kodiak,Kodiak,United States,ADQ,PADQ,57.749967,-152.493856,78,-9,A,"Kodiak, AK",61,61,62,62,2.4918032786885247,9.295081967213111,6.0,40.0,"Thu, Jul 19, 2001","Fri, Jul 20, 2001"
3794,King Salmon,King Salmon,United States,AKN,PAKN,58.676778,-156.649278,68,-9,A,"King Salmon, AK",59,59,64,64,3.6271186440677967,8.355932203389834,8.0,24.0,"Sat, Jul 14, 2001","Sun, Jul 22, 2001"
3864,Albany International,Albany,United States,ALB,KALB,42.748267,-73.801692,285,-5,A,"Albany, NY",1472,1479,1492,1493,4.059782608695647,11.507099391480727,23.0,107.0,"Sat, Jul 28, 2001","Sun, Jul 29, 2001"
3840,Rick Husband Amarillo International,Amarillo,United States,AMA,KAMA,35.219369,-101.705931,3607,-6,A,"Amarillo, TX",495,495,503,505,4.002020202020202,7.426262626262626,12.0,74.0,"Fri, Jul  6, 2001","Sun, Jul  1, 2001"
3774,Ted Stevens Anchorage International,Anchorage,United States,ANC,PANC,61.174361,-149.996361,152,-9,A,"Anchorage, AK",2445,2454,2512,2512,5.0400817995909994,12.535452322738399,48.0,73.0,"Sat, Jul 28, 2001","Wed, Jul  4, 2001"
3682,Hartsfield Jackson Atlanta International,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,"Atlanta, GA",21580,21758,22351,22391,8.733456904541221,19.232741979961407,66.0,164.0,"Tue, Jul  3, 2001","Sun, Jul  1, 2001"
3673,Austin Bergstrom International,Austin,United States,AUS,KAUS,30.194528,-97.669889,542,-6,A,"Austin, TX",3774,3774,3816,3819,4.913884472707989,9.736354001059905,40.0,138.0,"Thu, Jul 19, 2001","Sun, Jul  1, 2001"
4007,Asheville Regional Airport,Asheville,United States,AVL,KAVL,35.436194,-82.541806,2165,-5,A,"Asheville, NC",153,154,155,155,3.895424836601307,11.850649350649352,9.0,61.0,"Sun, Jul  1, 2001","Mon, Jul 23, 2001"
4286,Wilkes Barre Scranton International,Scranton,United States,AVP,KAVP,41.338478,-75.723403,962,-5,A,"Scranton/Wilkes-Barre, PA",119,121,124,124,3.8907563025210083,10.363636363636363,8.0,67.0,"Mon, Jul 23, 2001","Mon, Jul  9, 2001"
4039,Kalamazoo,Kalamazoo,United States,AZO,KAZO,42.234875,-85.552058,874,-5,A,"Kalamazoo, MI",199,199,207,207,3.492462311557789,8.91959798994975,12.0,64.0,"Wed, Jul 25, 2001","Sun, Jul 22, 2001"
3825,Bradley International,Windsor Locks,United States,BDL,KBDL,41.938889,-72.683222,173,-5,A,"Hartford, CT",3243,3235,3289,3290,4.719703977798336,13.12519319938177,44.0,144.0,"Sun, Jul  1, 2001","Sun, Jul 29, 2001"
3599,Bethel,Bethel,United States,BET,PABE,60.779778,-161.838,121,-9,A,"Bethel, AK",93,93,93,93,3.118279569892473,6.516129032258063,5.0,29.0,"Wed, Jul  4, 2001","Mon, Jul 30, 2001"
3558,Meadows Field,Bakersfield,United States,BFL,KBFL,35.433598,-119.05677,507,-8,A,"Bakersfield, CA",152,151,155,155,5.447368421052631,9.860927152317885,19.0,28.0,"Thu, Jul 19, 2001","Sat, Jul 28, 2001"
4129,Greater Binghamton-Edwin A. Link Field,Binghamton,United States,BGM,KBGM,42.208689,-75.979839,1636,-5,A,"Binghamton, NY",13,14,13,14,4.3076923076923075,8.142857142857142,6.0,15.0,"Wed, Jul  4, 2001","Wed, Jul  4, 2001"
3463,Bangor International,Bangor,United States,BGR,KBGR,44.807444,-68.828139,192,-5,A,"Bangor, ME",396,396,407,408,4.22727272727273,8.851010101010104,15.0,75.0,"Thu, Jul  5, 2001","Fri, Jul  6, 2001"
3811,Birmingham International,Birmingham,United States,BHM,KBHM,33.562942,-86.75355,644,-6,A,"Birmingham, AL",1659,1657,1671,1668,3.5376732971669704,9.741098370549198,21.0,58.0,"Wed, Jul 25, 2001","Tue, Jul  3, 2001"
4021,Billings Logan International Airport,Billings,United States,BIL,KBIL,45.80921,-108.537654,3652,-7,A,"Billings, MT",274,274,279,279,4.178832116788321,11.164233576642333,8.0,22.0,"Tue, Jul 24, 2001","Mon, Jul 16, 2001"
4083,Bismarck Municipal Airport,Bismarck,United States,BIS,KBIS,46.775842,-100.757931,1661,-6,A,"Bismarck/Mandan, ND",123,124,124,124,3.569105691056911,7.951612903225806,6.0,66.0,"Fri, Jul 13, 2001","Thu, Jul 19, 2001"
4037,Central Illinois Regional,Bloomington,United States,BMI,KBMI,40.477111,-88.915917,871,-6,A,"Bloomington/Normal, IL",109,109,120,120,4.266055045871559,9.917431192660548,11.0,37.0,"Wed, Jul 11, 2001","Sat, Jul 21, 2001"
3690,Nashville International,Nashville,United States,BNA,KBNA,36.124472,-86.678194,599,-6,A,"Nashville, TN",4875,4876,4915,4914,4.9318974358974685,10.382280557834301,32.0,103.0,"Sun, Jul  8, 2001","Wed, Jul 18, 2001"
3495,Boise Air Terminal,Boise,United States,BOI,KBOI,43.564361,-116.222861,2871,-7,A,"Boise, ID",1094,1092,1095,1095,3.3354661791590487,9.014652014652036,12.0,91.0,"Tue, Jul  3, 2001","Tue, Jul  3, 2001"
3448,General Edward Lawrence Logan International,Boston,United States,BOS,KBOS,42.364347,-71.005181,19,-5,A,"Boston, MA",11657,11699,12359,12357,9.300506133653546,21.601675356868036,92.0,339.0,"Sun, Jul  1, 2001","Sun, Jul  1, 2001"
3612,Southeast Texas Regional,Beaumont,United States,BPT,KBPT,29.950833,-94.020694,15,-6,A,"Beaumont/Port Arthur, TX",149,147,149,149,5.5503355704698,9.775510204081636,27.0,22.0,"Wed, Jul 25, 2001","Sun, Jul 29, 2001"
3738,Brownsville South Padre Island International,Brownsville,United States,BRO,KBRO,25.906833,-97.425861,22,-6,A,"Brownsville, TX",23,23,23,23,4.565217391304348,9.347826086956522,7.0,14.0,"Sun, Jul 22, 2001","Mon, Jul 23, 2001"
3571,Wiley Post Will RogersMemorial,Barrow,United States,BRW,PABR,71.285446,-156.766003,44,-9,A,"Barrow, AK",76,76,80,80,3.2763157894736845,6.144736842105262,5.0,15.0,"Tue, Jul  3, 2001","Mon, Jul 23, 2001"
3846,Baton Rouge Metro-Ryan Field,Baton Rouge,United States,BTR,KBTR,30.533167,-91.149639,70,-6,A,"Baton Rouge, LA",333,332,336,335,5.3093093093093096,10.725903614457824,16.0,95.0,"Sat, Jul 21, 2001","Sun, Jul 22, 2001"
3711,Burlington International,Burlington,United States,BTV,KBTV,44.471861,-73.153278,335,-5,A,"Burlington, VT",427,419,450,449,4.0749414519906315,10.455847255369934,13.0,43.0,"Sun, Jul  8, 2001","Wed, Jul 25, 2001"
3820,Buffalo Niagara International,Buffalo,United States,BUF,KBUF,42.940525,-78.732167,724,-5,A,"Buffalo, NY",1915,1912,1948,1943,4.064229765013053,11.335774058577394,15.0,91.0,"Thu, Jul  5, 2001","Wed, Jul 25, 2001"
3644,Bob Hope,Burbank,United States,BUR,KBUR,34.200667,-118.358667,778,-8,A,"Burbank, CA",2345,2351,2393,2394,2.2153518123667393,9.761378136962984,22.0,67.0,"Wed, Jul 11, 2001","Fri, Jul  6, 2001"
3849,Baltimore Washington International,Baltimore,United States,BWI,KBWI,39.175361,-76.668333,146,-5,A,"Baltimore, MD",8789,8783,8890,8890,4.697235180339054,12.550836843902989,90.0,216.0,"Sun, Jul  1, 2001","Wed, Jul 25, 2001"
4020,Gallatin Field,Bozeman,United States,BZN,KBZN,45.777643,-111.160151,4500,-7,A,"Bozeman, MT",159,160,159,160,4.9056603773584895,12.65625,9.0,46.0,"Fri, Jul 20, 2001","Thu, Jul  5, 2001"
3561,Columbia Metropolitan,Colombia,United States,CAE,KCAE,33.938833,-81.119528,236,-5,A,"Columbia, SC",327,328,339,339,5.055045871559636,12.402439024390244,29.0,64.0,"Sat, Jul 21, 2001","Tue, Jul 31, 2001"
4112,Akron Canton Regional Airport,Akron,United States,CAK,KCAK,40.9160833,-81.4421944,1228,-5,A,"Akron, OH",84,83,84,84,4.714285714285716,9.132530120481928,8.0,34.0,"Fri, Jul  6, 2001","Sun, Jul  1, 2001"
3610,Merle K. Mudhole Smith,Cordova,United States,CDV,PACV,60.491778,-145.477556,48,-9,A,"Cordova, AK",62,62,62,62,3.0967741935483875,6.82258064516129,10.0,18.0,"Thu, Jul 19, 2001","Sat, Jul 21, 2001"
3578,Lovell Field,Chattanooga,United States,CHA,KCHA,35.035278,-85.203808,683,-5,A,"Chattanooga, TN",177,174,181,181,3.7457627118644066,11.574712643678163,8.0,86.0,"Fri, Jul 20, 2001","Sun, Jul  8, 2001"
3806,Charleston AFB International,Charleston,United States,CHS,KCHS,32.898647,-80.040528,45,-5,A,"Charleston, SC",507,505,532,532,5.9171597633136095,11.774257425742578,15.0,68.0,"Mon, Jul 30, 2001","Fri, Jul 20, 2001"
4043,Cedar Rapids,Cedar Rapids,United States,CID,KCID,41.884694,-91.710806,869,-6,A,"Cedar Rapids/Iowa City, IA",647,648,666,666,4.006182380216383,9.907407407407407,29.0,107.0,"Sun, Jul  8, 2001","Wed, Jul 18, 2001"
3486,Cleveland Hopkins International,Cleveland,United States,CLE,KCLE,41.411689,-81.849794,791,-5,A,"Cleveland, OH",4488,4490,4567,4564,4.139260249554371,15.826503340757261,34.0,204.0,"Wed, Jul 25, 2001","Wed, Jul 25, 2001"
3715,Easterwood Field,College Station,United States,CLL,KCLL,30.588583,-96.363833,321,-6,A,"College Station/Bryan, TX",208,206,215,215,5.634615384615387,9.310679611650482,24.0,27.0,"Sat, Jul  7, 2001","Tue, Jul 31, 2001"
3876,Charlotte Douglas International,Charlotte,United States,CLT,KCLT,35.214,-80.943139,748,-5,A,"Charlotte, NC",11371,11413,11616,11619,6.518336118195422,17.83755366687114,57.0,195.0,"Sun, Jul  1, 2001","Thu, Jul 26, 2001"
3759,Port Columbus International,Columbus,United States,CMH,KCMH,39.997972,-82.891889,815,-5,A,"Columbus, OH",3371,3362,3439,3441,4.511124295461275,11.929506246281989,60.0,171.0,"Wed, Jul 25, 2001","Wed, Jul 25, 2001"
4049,Champaign,Champaign,United States,CMI,KCMI,40.03925,-88.278056,754,-6,A,"Champaign/Urbana, IL",143,142,154,154,3.972027972027972,10.626760563380282,7.0,83.0,"Fri, Jul 13, 2001","Sat, Jul 21, 2001"
3819,City Of Colorado Springs Municipal,Colorado Springs,United States,COS,KCOS,38.805805,-104.700778,6187,-7,A,"Colorado Springs, CO",1086,1085,1103,1104,6.689686924493555,14.192626728110598,25.0,103.0,"Wed, Jul 18, 2001","Mon, Jul 23, 2001"
3744,Corpus Christi International,Corpus Christi,United States,CRP,KCRP,27.770361,-97.501222,44,-6,A,"Corpus Christi, TX",467,466,476,475,3.3811563169164875,7.585836909871245,12.0,31.0,"Thu, Jul  5, 2001","Tue, Jul 17, 2001"
4285,Yeager,Charleston,United States,CRW,KCRW,38.373147,-81.593189,981,-5,A,"Charleston/Dunbar, WV",88,88,93,93,3.6363636363636362,8.295454545454545,8.0,103.0,"Thu, Jul 12, 2001","Fri, Jul 13, 2001"
3488,Cincinnati Northern Kentucky International,Cincinnati,United States,CVG,KCVG,39.048836,-84.667822,896,-5,A,"Cincinnati, OH",5570,5593,5735,5732,6.342549371633752,15.116216699445731,52.0,139.0,"Sun, Jul  8, 2001","Tue, Jul  3, 2001"
3950,Daytona Beach International,Daytona Beach,United States,DAB,KDAB,29.179917,-81.058056,34,-5,A,"Daytona Beach, FL",155,155,155,155,4.419354838709675,12.335483870967742,8.0,35.0,"Tue, Jul 31, 2001","Tue, Jul 10, 2001"
3502,Dallas Love Field,Dallas,United States,DAL,KDAL,32.847111,-96.851778,487,-6,A,"Dallas, TX",4134,4153,4249,4248,3.161344944363813,7.258126655429806,29.0,75.0,"Mon, Jul 23, 2001","Sun, Jul  1, 2001"
3627,James M. Cox Dayton International,Dayton,United States,DAY,KDAY,39.902375,-84.219375,1009,-5,A,"Dayton, OH",948,948,975,974,4.864978902953583,14.009493670886076,29.0,105.0,"Fri, Jul 20, 2001","Sun, Jul  1, 2001"
4388,Dubuque Regional,Dubuque IA,United States,DBQ,KDBQ,42.402,-90.709472,1076,-6,A,"Dubuque, IA",109,110,115,115,3.9633027522935786,10.027272727272727,20.0,34.0,"Fri, Jul 27, 2001","Wed, Jul 18, 2001"
3520,Ronald Reagan Washington National,Washington,United States,DCA,KDCA,38.852083,-77.037722,15,-5,A,"Washington, DC",7791,7788,8094,8103,4.935566679501991,17.167180277349747,72.0,304.0,"Thu, Jul 12, 2001","Tue, Jul 10, 2001"
3751,Denver International,Denver,United States,DEN,KDEN,39.861656,-104.673178,5431,-7,A,"Denver, CO",12080,12159,12401,12404,8.49461920529802,15.961921210625828,178.0,207.0,"Thu, Jul 26, 2001","Mon, Jul 23, 2001"
3670,Dallas Fort Worth International,Dallas-fort Worth,United States,DFW,KDFW,32.896828,-97.037997,607,-6,A,"Dallas/Fort Worth, TX",27164,27245,27883,27854,11.582388455308475,17.81192879427408,85.0,218.0,"Sun, Jul  1, 2001","Wed, Jul  4, 2001"
3460,Dillingham,Dillingham,United States,DLG,PADL,59.044667,-158.5055,74,-9,A,"Dillingham, AK",42,42,44,44,2.4761904761904763,7.761904761904764,5.0,20.0,"Sat, Jul  7, 2001","Thu, Jul 19, 2001"
3598,Duluth International,Duluth,United States,DLH,KDLH,46.842091,-92.193649,1428,-6,A,"Duluth, MN",170,170,177,176,4.241176470588233,11.735294117647058,10.0,117.0,"Wed, Jul 18, 2001","Sun, Jul  1, 2001"
3729,Des Moines International,Des Moines,United States,DSM,KDSM,41.533972,-93.663083,958,-6,A,"Des Moines, IA",809,808,819,819,3.828182941903583,10.360148514851499,15.0,88.0,"Thu, Jul  5, 2001","Sat, Jul  7, 2001"
3645,Detroit Metro Wayne County,Detroit,United States,DTW,KDTW,42.212444,-83.353389,645,-5,A,"Detroit, MI",13309,13358,13582,13575,9.941468179427424,19.7556520437191,101.0,178.0,"Sun, Jul 29, 2001","Sun, Jul  1, 2001"
3860,Unalaska,Unalaska,United States,DUT,PADU,53.900139,-166.5435,22,-9,A,"Unalaska, AK",50,50,62,62,2.18,7.26,4.0,25.0,"Wed, Jul  4, 2001","Mon, Jul 23, 2001"
