airport_id,name,city,country,iata_faa,iaco,latitude,longitude,altitude,zone,dst,city_state,avg_able_landings,avg_able_takeoffs,total_landings,total_takeoffs,avg_taxi_in,avg_taxi_out,longest_taxi_in,longest_taxi_out,lng_tx_in_date,lng_tx_out_date
4355,Lehigh Valley International,Allentown,United States,ABE,KABE,40.652083,-75.440806,393,-5,A,"Allentown/Bethlehem/Easton, PA",582,580,608,606,3.745704467353951,7.95,14.0,92.0,"Tue, Aug 27, 1996","Thu, Aug 22, 1996"
4019,Albuquerque International Sunport,Albuquerque,United States,ABQ,KABQ,35.0402222,-106.6091944,5355,-7,A,"Albuquerque, NM",3234,3235,3255,3256,4.435064935064944,11.19999999999999,51.0,187.0,"Sat, Aug  3, 1996","Sat, Aug 31, 1996"
3517,Nantucket Memorial,Nantucket,United States,ACK,KACK,41.253053,-70.060181,48,-5,A,"Nantucket, MA",7,8,9,9,5.428571428571429,8.125,6.0,13.0,"Sun, Aug  4, 1996","Mon, Aug 26, 1996"
3531,Kodiak,Kodiak,United States,ADQ,PADQ,57.749967,-152.493856,78,-9,A,"Kodiak, AK",60,60,62,62,2.2666666666666675,7.166666666666667,5.0,15.0,"Fri, Aug 30, 1996","Thu, Aug 15, 1996"
3658,Augusta Regional At Bush Field,Bush Field,United States,AGS,KAGS,33.369944,-81.9645,144,-5,A,"Augusta, GA",181,181,184,184,3.994475138121547,9.861878453038674,7.0,56.0,"Sat, Aug  3, 1996","Wed, Aug  7, 1996"
3794,King Salmon,King Salmon,United States,AKN,PAKN,58.676778,-156.649278,68,-9,A,"King Salmon, AK",67,67,71,71,2.9402985074626864,7.104477611940299,7.0,28.0,"Mon, Aug 19, 1996","Fri, Aug 16, 1996"
3864,Albany International,Albany,United States,ALB,KALB,42.748267,-73.801692,285,-5,A,"Albany, NY",929,932,941,941,4.021528525296022,9.257510729613738,12.0,37.0,"Sat, Aug 17, 1996","Thu, Aug 15, 1996"
5718,Waterloo Regional Airport,Waterloo,United States,ALO,KALO,42.5571,-92.4003,873,-6,A,"Waterloo, IA",53,54,57,58,2.9622641509433962,5.814814814814815,6.0,10.0,"Thu, Aug  8, 1996","Fri, Aug  2, 1996"
3840,Rick Husband Amarillo International,Amarillo,United States,AMA,KAMA,35.219369,-101.705931,3607,-6,A,"Amarillo, TX",417,419,422,423,3.6306954436450836,7.109785202863962,10.0,23.0,"Sun, Aug 11, 1996","Sat, Aug 17, 1996"
3774,Ted Stevens Anchorage International,Anchorage,United States,ANC,PANC,61.174361,-149.996361,152,-9,A,"Anchorage, AK",2278,2295,2358,2358,4.00395083406497,12.071459694989109,51.0,45.0,"Sat, Aug 10, 1996","Thu, Aug  8, 1996"
3682,Hartsfield Jackson Atlanta International,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,"Atlanta, GA",20227,20302,20515,20494,7.095614772334024,17.22583981873707,85.0,166.0,"Sat, Aug 24, 1996","Fri, Aug 23, 1996"
3673,Austin Bergstrom International,Austin,United States,AUS,KAUS,30.194528,-97.669889,542,-6,A,"Austin, TX",3123,3122,3165,3166,3.35094460454691,9.963484945547721,29.0,181.0,"Thu, Aug 22, 1996","Sat, Aug 31, 1996"
4007,Asheville Regional Airport,Asheville,United States,AVL,KAVL,35.436194,-82.541806,2165,-5,A,"Asheville, NC",179,179,181,181,3.452513966480447,9.56983240223464,9.0,59.0,"Sat, Aug 10, 1996","Mon, Aug 12, 1996"
4286,Wilkes Barre Scranton International,Scranton,United States,AVP,KAVP,41.338478,-75.723403,962,-5,A,"Scranton/Wilkes-Barre, PA",267,272,275,278,3.749063670411985,7.790441176470595,8.0,66.0,"Sat, Aug  3, 1996","Thu, Aug 29, 1996"
4039,Kalamazoo,Kalamazoo,United States,AZO,KAZO,42.234875,-85.552058,874,-5,A,"Kalamazoo, MI",172,172,179,180,4.36627906976744,8.069767441860469,17.0,29.0,"Sun, Aug 18, 1996","Tue, Aug 20, 1996"
3825,Bradley International,Windsor Locks,United States,BDL,KBDL,41.938889,-72.683222,173,-5,A,"Hartford, CT",2178,2173,2207,2205,4.337924701561069,11.321214910262313,24.0,128.0,"Mon, Aug 26, 1996","Thu, Aug 22, 1996"
3599,Bethel,Bethel,United States,BET,PABE,60.779778,-161.838,121,-9,A,"Bethel, AK",78,78,80,80,2.76923076923077,7.064102564102564,10.0,16.0,"Wed, Aug 21, 1996","Thu, Aug 15, 1996"
