airport_id,name,city,country,iata_faa,iaco,latitude,longitude,altitude,zone,dst,city_state,avg_able_landings,avg_able_takeoffs,total_landings,total_takeoffs,avg_taxi_in,avg_taxi_out,longest_taxi_in,longest_taxi_out,lng_tx_in_date,lng_tx_out_date
4355,Lehigh Valley International,Allentown,United States,ABE,KABE,40.652083,-75.440806,393,-5,A,"Allentown/Bethlehem/Easton, PA",0,0,627,636,0,0,0,0,"Tue, Dec  1, 1992","Tue, Dec  1, 1992"
4019,Albuquerque International Sunport,Albuquerque,United States,ABQ,KABQ,35.0402222,-106.6091944,5355,-7,A,"Albuquerque, NM",0,0,2718,2739,0,0,0,0,"Tue, Dec  1, 1992","Tue, Dec  1, 1992"
3524,Atlantic City International,Atlantic City,United States,ACY,KACY,39.457583,-74.577167,75,-5,A,"Atlantic City, NJ",0,0,63,63,0,0,0,0,"Sat, Dec  5, 1992","Tue, Dec  1, 1992"
3531,Kodiak,Kodiak,United States,ADQ,PADQ,57.749967,-152.493856,78,-9,A,"Kodiak, AK",0,0,19,21,0,0,0,0,"Tue, Dec  1, 1992","Tue, Dec  1, 1992"
3658,Augusta Regional At Bush Field,Bush Field,United States,AGS,KAGS,33.369944,-81.9645,144,-5,A,"Augusta, GA",0,0,292,293,0,0,0,0,"Tue, Dec  1, 1992","Tue, Dec  1, 1992"
3794,King Salmon,King Salmon,United States,AKN,PAKN,58.676778,-156.649278,68,-9,A,"King Salmon, AK",0,0,17,17,0,0,0,0,"Tue, Dec  1, 1992","Tue, Dec  1, 1992"
3864,Albany International,Albany,United States,ALB,KALB,42.748267,-73.801692,285,-5,A,"Albany, NY",0,0,1133,1143,0,0,0,0,"Tue, Dec  1, 1992","Fri, Dec 18, 1992"
3840,Rick Husband Amarillo International,Amarillo,United States,AMA,KAMA,35.219369,-101.705931,3607,-6,A,"Amarillo, TX",0,0,484,488,0,0,0,0,"Tue, Dec  1, 1992","Wed, Dec  2, 1992"
3774,Ted Stevens Anchorage International,Anchorage,United States,ANC,PANC,61.174361,-149.996361,152,-9,A,"Anchorage, AK",0,0,1197,1208,0,0,0,0,"Tue, Dec  1, 1992","Tue, Dec  1, 1992"
5967,Aniak Airport,Aniak,United States,ANI,PANI,61.5816,-159.543,88,-9,A,"Aniak, AK",0,0,9,9,0,0,0,0,"Fri, Dec  4, 1992","Fri, Dec  4, 1992"
3682,Hartsfield Jackson Atlanta International,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,"Atlanta, GA",0,0,17711,17728,0,0,0,0,"Tue, Dec  1, 1992","Tue, Dec  1, 1992"
3673,Austin Bergstrom International,Austin,United States,AUS,KAUS,30.194528,-97.669889,542,-6,A,"Austin, TX",0,0,2330,2354,0,0,0,0,"Fri, Dec 18, 1992","Tue, Dec  1, 1992"
4007,Asheville Regional Airport,Asheville,United States,AVL,KAVL,35.436194,-82.541806,2165,-5,A,"Asheville, NC",0,0,200,204,0,0,0,0,"Tue, Dec  1, 1992","Wed, Dec  2, 1992"
4286,Wilkes Barre Scranton International,Scranton,United States,AVP,KAVP,41.338478,-75.723403,962,-5,A,"Scranton/Wilkes-Barre, PA",0,0,238,241,0,0,0,0,"Tue, Dec  1, 1992","Wed, Dec  9, 1992"
4039,Kalamazoo,Kalamazoo,United States,AZO,KAZO,42.234875,-85.552058,874,-5,A,"Kalamazoo, MI",0,0,200,200,0,0,0,0,"Tue, Dec  1, 1992","Tue, Dec  1, 1992"
3825,Bradley International,Windsor Locks,United States,BDL,KBDL,41.938889,-72.683222,173,-5,A,"Hartford, CT",0,0,2259,2249,0,0,0,0,"Tue, Dec  1, 1992","Tue, Dec  1, 1992"
3599,Bethel,Bethel,United States,BET,PABE,60.779778,-161.838,121,-9,A,"Bethel, AK",0,0,62,63,0,0,0,0,"Tue, Dec  1, 1992","Fri, Dec  4, 1992"
3558,Meadows Field,Bakersfield,United States,BFL,KBFL,35.433598,-119.05677,507,-8,A,"Bakersfield, CA",0,0,61,60,0,0,0,0,"Tue, Dec  1, 1992","Tue, Dec  1, 1992"
4129,Greater Binghamton-Edwin A. Link Field,Binghamton,United States,BGM,KBGM,42.208689,-75.979839,1636,-5,A,"Binghamton, NY",0,0,116,117,0,0,0,0,"Tue, Dec  1, 1992","Tue, Dec  1, 1992"
